Categoria;Título;Autor;Visualizações;Gostos;Data
Não especificado;6 Passos para Embarcar na Experiência Erasmus+;Cris Vieira;69;6;2023-01-03
Dicas e sugestões;8 dicas para acabares com a procrastinação;Tiago Oliveira;404;20;2022-12-06
Dicas e sugestões;Qual o melhor tipo de apontamento? Digital ou Manual?;Morgana;433;40;2022-12-01
Dicas e sugestões;Ansiedade - combate ao pequeno grande “monstro”;Bruna Santa;880;162;2022-11-24
Dicas e sugestões;Como poupar dinheiro sendo estudante!;Luana Oliveira;116;11;2022-11-22
Testemunhos;Herrar é umano - Testemunho de um gap year forçado;Diana Oliveira;359;26;2022-09-26
Dicas e sugestões;A importância do associativismo durante a jornada de um estudante;Bruna Santa;85;10;2022-09-23
Testemunhos;Se pensas que sabes tudo acerca do Superior... enganas-te!;Andreia  Marques;85;9;2022-09-20
Outros Artigos Ensino Superior;Ainda à procura de alojamento? Estamos aqui para te ajudar!;Andreia  Marques;124;7;2022-09-09
Acesso ao Ensino Superior;Reforço de vagas permite aos alunos alterar candidaturas ao ensino superior;-;286;12;2022-08-23
Testemunhos;Tunas Académicas - Testemunho da Real Tuna Infantina (UAlg);Cris Vieira;165;13;2022-08-18
Acesso ao Ensino Superior;Ensino Superior? Afinal que curso vou escolher?;Bruna Santa;170;16;2022-08-02
Testemunhos;Às vezes, somos caloiros muitas vezes...;Diana Oliveira;162;14;2022-08-01
Testemunhos;Conhece as melhores instituições para o teu curso!;Bruna Santa;183;13;2022-07-23
Não especificado;A 1ª fase não me correu bem e agora?;Morgana;295;10;2022-07-19
Acesso ao Ensino Superior;Dos exames... à entrada no Ensino Superior;Andreia  Marques;341;7;2022-07-15
Propinas e Bolsas;As bolsas que existem no Ensino Superior;Ana Rita Marques;369;9;2022-07-12
Acesso ao Ensino Superior;Ficha ENES: o currículo do teu Ensino Secundário;Luana Oliveira;902;10;2022-07-09
Acesso ao Ensino Superior;Contingentes de Acesso ao Ensino Superior: o que são e para quem?;-;1067;23;2022-07-07
Propinas e Bolsas;Candidatura à Bolsa da DGES;Luana Oliveira;1437;29;2022-06-27
Acesso ao Ensino Superior;Licenciaturas sem limite de vagas no acesso ao Ensino Superior;Bruna Santa;465;14;2022-06-16
Propinas e Bolsas;6.500€ para oportunidades de Gap Years imperdíveis;-;1107;15;2022-06-06
Acesso ao Ensino Superior;Atribuição de senha e certificação dos dados pessoais: como fazer?;-;576;11;2022-05-26
Exames Nacionais;Exames Nacionais: Cotações, perguntas facultativas & obrigatórias e outras informações;Tiago Oliveira;3251;23;2022-05-18
Acesso ao Ensino Superior;O que é o Ensino Concordatário?;Morgana;1870;8;2022-04-17
Acesso ao Ensino Superior;Pré-requisitos: esclarece as tuas dúvidas!;Soraia Oliveira;700;13;2022-03-30
Exames Nacionais;Melhorias: tudo o que precisas de saber;Luana Oliveira;9934;26;2022-03-28
Exames Nacionais;Exames Nacionais 2022: inscrições online;Morgana;4067;16;2022-03-24
Acesso ao Ensino Superior;Pedido de senha para acesso ao Ensino Superior: para que serve e dicas.;Luana Oliveira;4716;16;2022-03-21
Acesso ao Ensino Superior;Ano Zero: a média não é um problema;Bruna Santa;485;34;2022-02-17
Dicas e sugestões;Como estudar para um teste de escolha múltipla?;Luana Oliveira;293;12;2022-02-14
Acesso ao Ensino Superior;Será um CTeSP indicado para mim?;Soraia Oliveira;711;12;2022-01-27
Dicas e sugestões;Como pesquisar artigos científicos? Um guia essencial para os trabalhos escolares!;Emanuelle;363;114;2022-01-12
Propinas e Bolsas;Bolsas + Superior 2021/2022;-;444;12;2021-11-23
Dicas e sugestões;Métodos de Estudo - formas de tornar o estudo mais dinâmico e eficiente;Lia Alves;296;18;2021-11-22
Dicas e sugestões;“Se eu soubesse onde me voluntariar até ia!”;Morgana;182;20;2021-11-17
Acesso ao Ensino Superior;ECTS: a sigla que vai ditar o teu futuro no ensino superior;-;225;17;2021-11-12
Dicas e sugestões;Será que estou no curso certo? O medo e as incertezas na mudança de área;Soraia Oliveira;86;17;2021-11-01
Dicas e sugestões;Youtube: em casa, no bus, em todo o lado;Tiago Oliveira;154;20;2021-10-18
Ensino Superior;Primeiros tempos na universidade: o sonho de alguns, o pesadelo de muitos!;Luana Oliveira;100;16;2021-10-13
Ensino Superior;A praxe académica;-;244;16;2021-10-12
Acesso ao Ensino Superior;Universidade: importância e alternativas;Ana Batista;81;15;2021-09-13
Dicas e sugestões;Escreve o teu sucesso;Luana Oliveira;72;19;2021-08-23
Dicas e sugestões;Estudante, diminui a tua pegada ecológica com os manuais escolares gratuitos!;Morgana Pereira;108;28;2021-08-10
Acesso ao Ensino Superior;Avançar para ... a minha candidatura ao Ensino Superior;Tiago Oliveira;865;22;2021-08-06
Testemunhos;CET... uma opção diferente do normal;Soraia Oliveira;157;19;2021-08-03
Covid-19;Abandono escolar no ensino superior aumenta para cerca de 13 000 estudantes;Tiago Oliveira;56;24;2021-07-26
Dicas e sugestões;A importância das soft skills;-;101;16;2021-07-24
Dicas e sugestões;6 Dicas para um mindset de sucesso nos Exames Nacionais;Telma Tomaz;332;19;2021-06-24
Dicas e sugestões;Exames Orais? E agora?;Luana Oliveira;107;13;2021-06-14
Acesso ao Ensino Superior;The game - A evolução das médias de acesso em 2021: são para subir?;Tiago Oliveira;3228;16;2021-06-07
Não especificado;Quando for para a universidade, vou viver debaixo da ponte?;Soraia Oliveira;143;15;2021-05-26
Ensino Superior;Mudar de faculdade no Ensino Superior;-;232;18;2021-05-16
Exames Nacionais;Kit de sobrevivência para os exames nacionais 2021;Lia Alves;384;21;2021-05-09
Testemunhos;Gap Year: sim ou não?;Diana Duarte;526;19;2021-04-30
Acesso ao Ensino Superior;Preferência Regional: benefícios que podes usufruir na candidatura ao ensino superior;-;4220;12;2021-04-27
Acesso ao Ensino Superior;Universidade = Perfect Match (Como escolher a melhor universidade para mim?);Luana Oliveira;220;10;2021-04-25
Covid-19;As desigualdades sociais em tempos de pandemia;Soraia Oliveira;64;14;2021-04-23
Ensino Secundário;Classicus, a, um (adj.) - a desvalorização das ciências humanas em Portugal;Lia Alves;151;16;2021-04-16
Acesso ao Ensino Superior;O curso ideal para ti no ensino superior: o que precisas de ter em conta;-;401;14;2021-04-14
Dicas e sugestões;Métodos de estudo: qual é o teu?;Diana Duarte;244;11;2021-04-13
Acesso ao Ensino Superior;Como obter uma boa média de ingresso?;Tiago Oliveira;383;15;2021-04-11
Dicas e sugestões;Estudar na véspera: Sim ou Não?;Filipa Osório;188;24;2021-04-07
Dicas e sugestões;Estudante, estes podcasts são para ti (ft. Spotify);Luana Oliveira;172;12;2021-04-04
Acesso ao Ensino Superior;Politécnico vs. Universidade;-;1056;11;2021-04-01
Testemunhos;De Macau para Portugal em tempos de pandemia;-;69;15;2021-03-29
Exames Nacionais;O que são as melhorias e porque é que precisas delas?;-;135;11;2021-03-26
Acesso ao Ensino Superior;"Calendário das ""festas"" para 2021";-;191;11;2021-03-25
Ensino Secundário;Escola pública vs Escola privada: Qual delas a melhor?;Diana Duarte;683;7;2021-03-21
Acesso ao Ensino Superior;Exames nacionais e acesso ao ensino superior: as confirmações;-;225;8;2021-03-11
Acesso ao Ensino Superior;Acesso ao superior vai manter as mesmas regras do ano passado;-;200;7;2021-03-10
Covid-19;Professores podem obrigar alunos a ter câmara ligada durante as aulas;-;116;7;2021-02-18
Outros Artigos Ensino Superior;Burnout: uma questão de saúde pública;Lia Alves;85;8;2021-02-16
Acesso ao Ensino Superior;Exames Nacionais contam para a média? Serão obrigatórios?;Tiago Oliveira;1281;5;2021-02-14
Ensino Secundário;Alterações nos exames nacionais e novas datas dos períodos letivos;-;214;5;2021-02-12
Dicas e sugestões;Métodos de Estudo- em tempos de pandemia;Ana Miguel;187;10;2021-02-05
Covid-19;Conclusão do 1º semestre em tempos de pandemia - época de exames;-;35;6;2021-02-02
Exames Nacionais;Exames Nacionais 2021: voltamos ao mesmo?;Tiago Oliveira;330;6;2021-01-29
Covid-19;Update: Encerramento de escolas;Tiago Oliveira;332;7;2021-01-20
Acesso ao Ensino Superior;Uma experiência deveras atribulada;Katarina Serralha;286;7;2021-01-10
Ensino Secundário;Escolas Básicas, Secundárias e Ensino Superior vão continuar a decorrer na normalidade;-;148;4;2021-01-09
Dicas e sugestões;Destaca o teu perfil do LinkedIn no meio de todos os outros;Tiago Oliveira;28;3;2021-01-06
Exames Nacionais;Iave quer travar notas “demasiado elevadas” nos exames nacionais;-;167;5;2020-12-27
Acesso ao Ensino Superior;A educação física conta para a média? FACTO ou MITO?;Carolina Ivanova;1936;7;2020-11-30
Covid-19;undefined;-;260;5;2020-11-18
Dicas e sugestões;Como fazer um CV?;-;124;6;2020-11-17
Acesso ao Ensino Superior;Atletas de alta competição: perguntas e respostas;Tiago Oliveira;1000;5;2020-11-09
Exames Nacionais;Exames Nacionais 2020/2021;-;461;5;2020-10-27
Acesso ao Ensino Superior;As folhas caem mas as médias não...;-;81;6;2020-09-22
Dicas e sugestões;undefined;Joana Araújo;114;4;2020-09-18
Acesso ao Ensino Superior;Mais vagas no ensino superior;-;62;5;2020-08-31
Ensino Secundário;Ensino no ano letivo 2020/21: as adaptações que vão ser feitas;Tiago Oliveira;133;6;2020-08-27
Acesso ao Ensino Superior;undefined;-;81;7;2020-08-24
Acesso ao Ensino Superior;Menos colocados na primeira fase e mais vagas na segunda fase?;Tiago Oliveira;95;6;2020-08-17
Exames Nacionais;Notas máximas nos exames nacionais quase duplicaram;-;83;6;2020-08-13
Exames Nacionais;2ª fase de exames - especificidades deste ano letivo;-;110;6;2020-08-11
Propinas e Bolsas;Mais bolsas e menos propinas;-;144;6;2020-08-09
Exames Nacionais;undefined;-;50;8;2020-08-04
Acesso ao Ensino Superior;undefined;-;668;7;2020-08-04
Acesso ao Ensino Superior;Em caso de empate no acesso ao ensino superior, o que acontece?;-;187;7;2020-07-31
Outros Artigos Ensino Superior;Cursos com desemprego zero em Portugal;-;130;5;2020-07-21
Acesso ao Ensino Superior;undefined;-;77;5;2020-07-07
Exames Nacionais;Tens uma branca no exame: e agora?!;-;173;8;2020-06-26
Exames Nacionais;Principais indicadores dos exames nacionais de secundário;Tiago Oliveira;129;7;2020-06-22
Acesso ao Ensino Superior;As vantagens de um Gap Year;-;94;7;2020-06-18
Testemunhos;Testemunho: O caminho de um caloiro;Diana Duarte;132;7;2020-06-12
Exames Nacionais;Perguntas opcionais nos exames nacionais;-;109;8;2020-06-09
Exames Nacionais;Inscrito nos exames de 19 Matemática A, 17 MACS, 16 Matemática, História A ou História B?;Tiago Oliveira;375;8;2020-06-09
Propinas e Bolsas;Bolsas de estudo 2020 para o ES;-;146;9;2020-06-01
